date,year,title,simple_title,artist,main_artist,peak_pos,last_pos,weeks,rank,change,spotify_link,spotify_id,video_link,genre,broad_genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6/21/18,NA,Dura,,Daddy Yankee,,43,65,19,64,1,spotify:track:6U2NuJILEOEpW2tVCuqKHb,6U2NuJILEOEpW2tVCuqKHb,,"[u'latin', u'latin hip hop', u'pop', u'reggaeton', u'tropical']",,https://api.spotify.com/v1/audio-analysis/6U2NuJILEOEpW2tVCuqKHb,0.803,0.434,94.981,0.0468,0.188,0,4,0.772,1,242160,-3.035,0.853,1
6/21/18,NA,El Farsante,,Ozuna & Romeo Santos,,49,97,20,91,6,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Esskeetit,,Lil Pump,,24,66,9,68,-2,spotify:track:44KKhCyI0BGS6LvVyDqJtH,44KKhCyI0BGS6LvVyDqJtH,,[u'trap music'],,https://api.spotify.com/v1/audio-analysis/44KKhCyI0BGS6LvVyDqJtH,0.506,0.0933,139.974,0.161,0.022,0,4,0.932,11,181714,-7.755,0.696,1
6/21/18,NA,Everything's Gonna Be Alright,,David Lee Murphy & Kenny Chesney,,66,71,8,66,5,spotify:track:0fxT5ysInaAyEWhtykYLC2,0fxT5ysInaAyEWhtykYLC2,,unknown,,https://api.spotify.com/v1/audio-analysis/0fxT5ysInaAyEWhtykYLC2,0.423,0.0981,90.514,0.0538,0.339,0.862,4,0.743,8,227972,-12.241,0.384,1
6/21/18,NA,Fake Love,,BTS,,10,48,4,71,-23,spotify:track:3aW0ds4A4tSQDIp75FqWTo,3aW0ds4A4tSQDIp75FqWTo,,[u'k-pop'],,https://api.spotify.com/v1/audio-analysis/3aW0ds4A4tSQDIp75FqWTo,0.719,0.306,77.501,0.0372,0.00267,0,4,0.557,2,242334,-4.515,0.344,0
6/21/18,NA,Feel The Love,,KIDS SEE GHOSTS,,47,0,1,47,New,spotify:track:3aUFrxO1B8EW63QchEl3wX,3aUFrxO1B8EW63QchEl3wX,,"[u'hip hop', u'pop', u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/3aUFrxO1B8EW63QchEl3wX,0.469,0.099,110.573,0.104,0.126,7.32E-05,4,0.58,0,165053,-5.946,0.369,0
6/21/18,NA,Fire,,KIDS SEE GHOSTS,,67,0,1,67,New,spotify:track:7oHkit3F3vimtsBbnZkU0G,7oHkit3F3vimtsBbnZkU0G,,"[u'hip hop', u'pop', u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/7oHkit3F3vimtsBbnZkU0G,0.751,0.182,104.999,0.16,0.472,4.71E-06,4,0.709,6,140527,-3.801,0.37,1
6/21/18,NA,Freaky Friday,,Lil Dicky Featuring Chris Brown,,8,39,13,37,2,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,"Freeee (Ghost Town, Pt. 2)",,KIDS SEE GHOSTS,,62,0,1,62,New,spotify:track:7GRTrWsP3yo2Fx8umJfA1X,7GRTrWsP3yo2Fx8umJfA1X,,"[u'hip hop', u'pop', u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/7GRTrWsP3yo2Fx8umJfA1X,0.81,0.158,151.643,0.0632,0.00457,0,4,0.334,9,206605,-4.855,0.306,0
6/21/18,NA,Friends,,Marshmello & Anne-Marie,,11,14,18,13,1,spotify:track:08bNPGLD8AhKpnnERrAc6G,08bNPGLD8AhKpnnERrAc6G,,unknown,,https://api.spotify.com/v1/audio-analysis/08bNPGLD8AhKpnnERrAc6G,0.88,0.128,95.079,0.0504,0.205,0,4,0.626,9,202621,-2.384,0.534,0
6/21/18,NA,Get Along,,Kenny Chesney,,48,56,10,48,8,spotify:track:2ZFrEp20VO25BXYhMxh0GW,2ZFrEp20VO25BXYhMxh0GW,,"[u'contemporary country', u'country', u'country road']",,https://api.spotify.com/v1/audio-analysis/2ZFrEp20VO25BXYhMxh0GW,0.805,0.172,92.401,0.0473,0.0997,0,4,0.602,7,199627,-6.079,0.322,1
6/21/18,NA,Ghost Town,,Kanye West Featuring PARTYNEXTDOOR,,16,16,2,60,-44,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Girls Like You,,Maroon 5 Featuring Cardi B,,4,4,3,5,-1,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,God's Plan,,Drake,,1,5,21,4,1,spotify:track:6DCZcSspjsKoFjzjrWoCdn,6DCZcSspjsKoFjzjrWoCdn,,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,0.449,0.552,77.169,0.109,0.0332,8.29E-05,4,0.754,7,198973,-9.211,0.357,1
6/21/18,NA,Havana,,Camila Cabello Featuring Young Thug,,1,33,44,27,6,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Heaven,,Kane Brown,,15,30,25,26,4,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,1HXy5I3HTWq8OvxCn0z7G7,,"[u'contemporary country', u'country road']",,https://api.spotify.com/v1/audio-analysis/1HXy5I3HTWq8OvxCn0z7G7,0.556,0.105,80.009,0.0306,0.263,0,4,0.677,9,179507,-6.544,0.521,1
6/21/18,NA,I Know You,,Lil Skies Featuring Yung Pinch,,90,0,1,90,New,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,I Like It,,"Cardi B, Bad Bunny & J Balvin",,3,3,10,3,0,spotify:track:3WqlVthQsYOCwcRXh35uL0,3WqlVthQsYOCwcRXh35uL0,,unknown,,https://api.spotify.com/v1/audio-analysis/3WqlVthQsYOCwcRXh35uL0,0.691,0.115,136.005,0.137,0.107,0,4,0.872,5,255373,-6.603,0.77,0
6/21/18,NA,I Like Me Better,,Lauv,,46,53,18,46,7,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,1wjzFQodRWrPcQ0AnYnvQ9,,"[u'electropop', u'pop']",,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9,0.505,0.104,91.97,0.253,0.535,2.55E-06,4,0.752,9,197437,-7.621,0.419,1
